Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions;;;;;;;;
10.or,E,E,2846MB,Phone,Qualcomm MSM8937,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
10.or,G,G,3603MB,Phone,Qualcomm MSM8953,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
10.or,D,10or_D,2874MB,Phone,Qualcomm MSM8917,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25,3.0;;;;;;
3Q,OC1020A,OC1020A,,Tablet,TI OMAP4428,1280x800,160,armeabi-v7a;armeabi,15,2.0;;;;;;;
Acer,Iconia Tab A200,picasso_e,,Tablet,NVidia Tegra 2,1280x800,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Acer,A110,a110,980MB,Tablet,NVidia Tegra 3 T30,600x1024,160,armeabi-v7a;armeabi,16,2.0;;;;;;;
Acer,CloudMobile S500,a9,794MB,,Qualcomm MSM8260A,720x1184,320,armeabi-v7a;armeabi,15;16,2.0;;;;;;
Acer,Iconia Tab A511,picasso_m,973MB,Tablet,NVidia Tegra 3 T30,1280x800,160,armeabi-v7a;armeabi,15;16,2.0;;;;;;
Acer,A101,vangogh,,Tablet,NVidia Tegra 2,1024x600,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Acer,Chromebook Tab 10,scarlet_cheets,3813MB,Tablet,Rockchip RK3399,1536x2048,240,armeabi-v7a;armeabi,25,3.1;;;;;;;
Acer,GT-810,rolex,1836MB,Tablet,Intel x7-8700,1200x1920,320,x86_64;x86;arm64-v8a;armeabi-v7a;armeabi,22,3.1;;;;
Acer,A3-A10,zara,992-994MB,Tablet,Mediatek MT8125,1280x800,160,armeabi-v7a;armeabi,17;19,2.0;;;;;;
Acer,Iconia Tab 8,ducati2fhd,1893MB,Tablet,Intel Z3745,1200x1920,320,x86;armeabi-v7a;armeabi,19,3.0;;;;;;
Acer,Iconia Tab 8,ducati2hd,885MB,Tablet,Intel Z3735F,800x1280,213,x86;armeabi-v7a;armeabi,19,3.1;;;;;;
Acer,Iconia Tab 8,ducati2hd3g,950MB,Tablet,Mediatek MT8389,800x1280,213,armeabi-v7a;armeabi,19,2.0;;;;;;;
Acer,Liquid Zest Plus,acer_t08,1943MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
Acer,Liquid Z6 Plus,acer_t11,2918MB,Phone,Mediatek MT6753,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0;;;;;;
Acer,A1-810,mango,994-996MB,Tablet,Mediatek MT8125,768x1024,160,armeabi-v7a;armeabi,17;19,2.0;;;;;;
Acer,Liquid Jade 2,acer_s58a,2739MB,Phone,Qualcomm MSM8992,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.1;;;;;;
Acer,C01 (PA),acer_c01,1864MB,Phone,Qualcomm MSM8953,480x640,240,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Acer,Aspire A3,aa3-600,1920MB,PC,Intel J1850,1920x1080,160,x86;armeabi-v7a;armeabi,17,2.0;;;;;;
Acer,Iconia Tab A700,picasso_mf,963MB,Tablet,NVidia Tegra 3 T30,1920x1200,240,armeabi-v7a;armeabi,15;16,2.0;;;;;;
Acer,Iconia Tab A210,picasso_e2,973MB,Tablet,NVidia Tegra 3 T30,1280x800,160,armeabi-v7a;armeabi,15;16,2.0;;;;;;
Acer,Liquid S2,a12,1849MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,17,2.0;;;;;;;
Acer,Iconia Tab A501,picasso,,Tablet,NVidia Tegra 2,1280x752,160,armeabi-v7a;armeabi,11;12;13;15,2.0;;;;
Acer,CW01,acer_cw01,2925MB,Phone,Qualcomm MSM8953,480x640,240,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Adart,RX550,ALIGATOR_RX550,1915MB,Phone,Mediatek MT6737T,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3.0;;;;;;
Admiral Overseas Corporation,O7,O7,1944MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
